skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Meteor	56	sor	meteor		28												meteorcenter	meteorcenter	meteorcenter						ln12																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2		24	20					Fire Ball	Fire Wall						30							1	7	34	1	1										ln12	radius							6	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level							5	damage synergy	1								8															fire	80	23	39	79	81	83	100	25	41	81	83	85	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl))*par8								768	32000
Thunder Storm	57	sor	thunder storm	13	29												thunderstorm1					thunderstorm		ln12																																																					sorceress_thunder_cast									lightning		light_cast_2					84				thunderstorm1												1	5		none												SC	SC	xx																										24	20					Nova	Chain Lightning													1	8	19	0	1			1	(100-dm56) * par4/100 + par3														800	duration	200	additional duration/level	25	minimum repeat time	100	repeat time factor	0	min % repeat time	100	max % repeat time	17	radius			1								8															ltng	1	10	10	11	11	11	100	10	10	11	11	11									768	32000
Energy Shield	58	sor	energy shield		23																	energyshield		ln12														absorbdamage	24																																						sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																										24	20					Teleport	Chain Lightning													1	8	5	0	1	1									"min(edmn,95)"	damage absorption	par5-skill('Telekinesis'.blvl)	ratio					3600	duration	1500	additional duration/level					32	Mana Damage mult in sixteenths							1								8																20	5	2	1	1	1															768	32000
Blizzard	59	sor	blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3		24	20					Frost Nova	Glacial Spike						45							1	8	23	1	1										par1	radius	par3	frequency					7	radius			4	Missile delay	0	Change duration in Missiles.xls							5	damage synergy	1								8															cold	45	15	30	45	55	65	75	16	31	46	56	66	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl))*par8	100							768	32000
Chilling Armor	60	sor	chilling armor		18												chillingarmorbolt					chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12											hitbymissile	1																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit								chillingarmorbolt												1	5		none												SC	SC	xx																	1						sorceress_cast_cold			24	20					Shiver Armor														1	8	17	0	1	1																	45	% AC Bonus	5	% AC bonus per level	3600	duration	150	duration per level					250	duration synergy	7	damage synergy	1								7															cold	8	2	4	6	8	10	12	3	5	7	9	11	(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8	100		25	25				768	32000
Fire Mastery	61	sor	fire mastery																																											firemastery		passive_fire_mastery	ln12																																																												1	3		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												30	% Damage bonus	7	% Damage bonus per level													1								8															fire																					896	64000
Hydra	62	sor	hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									hydra1	hydra	99	S2	HydraMissile	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2		30	20					Enchant							40							1	7	40	1	1																		250	duration	0	additional duration/level											3	damage synergy	1								7															fire	28	11	15	19	23	27	39	13	17	21	25	29	(skill('Fire Bolt'.blvl) + skill('Fire Ball'.blvl))*par8								896	64000
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery		passive_ltng_mastery	ln12																																																												1	5		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												50	% Damage bonus	12	% Damage bonus per level													1								8																																				896	64000
Frozen Orb	64	sor	frozen orb											frozenorb																																																															sorceress_cast_cold											ice_cast_3				29					frozenorb												1	8		none												SC	SC	xx																	1						sorceress_cast_cold			30	20					Blizzard							25	1						1	7	50	1	1																																2	damage synergy	1								7															cold	80	20	24	28	29	30	90	21	25	29	30	31	(skill('Ice Bolt'.blvl))*par8	200	25	25	25				896	64000
Cold Mastery	65	sor	cold mastery																																											coldmastery		passive_cold_pierce	ln12																																																												1	3		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												20	lower resist	5	lower resist per level													1								8																																				896	64000
Amplify Damage	66	nec	amplify damage		30																3		amplifydamage	ln34	ln12	damageresist	-par5																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast			1	20																			1	8	4	0	1																		3	radius	1	radius per level	200	duration	75	additional duration/level	100	% additional damage taken							1								8																																				256	1000
Teeth	67	nec	teeth		8												teeth																																																												necromancer_bone_cast														19	17					teeth	teeth	bonecast										1	1		none												SC	SC	xx																	1						necromancer_bone_cast			1	20													1						1	7	6	1	1										"min(ln12,24)"	# missiles	par3	activation frame					2	number of missiles	1	additional missiles/level	0	Acivation frame of teeth									15	damage synergy	1								7															mag	4	2	2	3	4	5	8	2	3	4	5	6	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl))*par8								256	1000
Bone Armor	68	nec	bone armor		18																	bonearmor				bonearmor	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8)*256	bonearmormax	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8)*256									absorbdamage	22																																						necromancer_bonearmor																																1	3		none												SC	SC	xx																	1						necromancer_bonearmor			1	20																			1	8	11	1	1	1																	20	damage absorbed	10	additional absorbed/level											15	absorb synergy	1								8																																				256	1000
Skeleton Mastery	69	nec	skeleton mastery																																											skel_mastery																																																															1	0		none												SC	SC	xx																										1	20					Raise Skeleton														0	8	0	0	1						1												8	additional hit points/level	2	additional damage per level	5	hp% per level for revive	10	dmg% per level for revive									1								8																																				256	1000
Raise Skeleton	70	nec	raise skeleton	15	31																					damagepercent	((lvl < 4) ? 0 : ((lvl-3)*par3))	tohit	(lvl+skill('Skeleton Mastery'.lvl))*par4	armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5																	maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256	item_normaldamage	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par2) + edmn									necroskeleton	skeleton	(lvl < 4) ?lvl:(2+lvl/3)	S1													1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1															1	20																			1	8	6	1	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment							5	% chance of shield	50	hp%/lvl	7	dmg%/lvl	15	to hit/lvl	15	ac/lvl							1								8																0	0	1	2	3	4															256	1000
Dim Vision	71	nec	dim vision		30																2		dimvision	ln34	ln12																																																				necromancer_curse_cast														18	30					cursedimvision		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast			6	20																			1	8	9	0	1																		4	radius	1	radius per level	175	duration	50	additional duration/level									1								8																																				384	3000
Weaken	72	nec	weaken		30																3		weaken	ln34	ln12	damagepercent	-par5																																																		necromancer_curse_cast														18	30					curseweaken		cursecast										1	9		none												SC	SC	SC					4												1						necromancer_curse_cast			6	20					Amplify Damage														1	8	4	0	1																		9	radius	1	radius per level	350	duration	60	additional duration/level	33	% damage target can do							1								8																																				384	3000
Poison Dagger	73	nec	poison dagger	16	32																																																																																																								1	4		h2h		knif										A1	A1	xx						1	1								1											6	20													1						1	6	12	1	1																																20	damage synergy	1	30	20						1	128														pois	18	10	15	20	23	26	40	10	15	20	23	26	(skill('Poison Explosion'.blvl)+skill('Poison Nova'.blvl))*par8	50	10	10	10				384	3000
Corpse Explosion	74	nec	corpse explosion	17	55																				ln34																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast			6	20					Teeth														1	8	15	1	1										par1	% target hp min damage	par2	% target hp max damage	par5	% damage to do as elemental			70	% of base monster HP min damage	120	% of base monster HP max damage	8	radius (half squares)	1	additional radius/level (half squares)	50	% damage to do as elemental							1								8															fire																					384	3000
Clay Golem	75	nec	clay golem		56																					item_slow	dm34											damagedinmelee	27									velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56) + (lvl*par8)	damagepercent	par2 * (lvl - 1) + (skill('FireGolem'.blvl)*skill('FireGolem'.par8))	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)					ClayGolem	golem	1	S1														necromancer_golem_cast																																1	5		none												SC	SC	S1					4																					6	20																			1	8	15	3	1	1									(100+(par1 * (lvl - 1)))*(100+skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)))/100-100	hp % adjustment							35	% HP bonus per level	35	% Damage bonus per level	0	slow effect min	75	slow effect max							20	clay golem attack synergy	1								8																																				384	3000
Iron Maiden	76	nec	iron maiden		30																3		ironmaiden	ln34	ln12													domeleedamage	4																																						necromancer_curse_cast														18	30					curseironmaiden		cursecast										1	9		none												SC	SC	S2					4												1									12	20					Amplify Damage														1	8	5	0	1										ln56	% damage to return	ln56/4	% damage to return vs. players	ln56/4	% damage to return other			7	radius	0	radius per level	300	duration	60	additional duration/level	200	% damage returned to accursed	25	% additional returned/level					1				16385		141		8																																				512	8000
Terror	77	nec	terror		30																2		terror	ln34	ln12																																																				necromancer_curse_cast														18	30					curseterror		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast			12	20					Weaken														1	8	7	0	1																		4	radius	0	radius per level	200	duration	25	additional duration/level	24	Distance to run	2	Distance per level					1								8																																				512	8000
Bone Wall	78	nec	bone wall		60												bonewallmaker																																											bonewall	none		S1														necromancer_bone_cast														22																		1	0		none												SC	SC	xx					4												1						necromancer_bone_cast			12	20					Bone Armor														1	8	17	0	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)	hp % adjustment	par34	# of walls - 1					25	% additional HP per level	600	MAX duration	8	Max Monsters per wall	0	"Level, max monsters per wall"							10	life synergy	1								8																																				512	8000
Golem Mastery	79	nec	golem mastery																																											golem_mastery																																																															1	0		none												SC	SC	xx																										12	20					Clay Golem								1						0	8	0	0	1						1												20	% HP bonus per level	20	% HP bonus per level	0	min velocity increase	40	max velocity increase	25	to hit	25	to hit/lvl					1								8																																				512	8000
Raise Skeletal Mage	80	nec	raise skeletal mage	15	31																					armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5																					maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256											necromage	skeletonmage	(lvl < 4) ?lvl:(2+lvl/3)	S1	NecromageMissile	skill('Skeleton Mastery'.lvl) + ((lvl < 4)?0:((lvl-2)/2))											1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1															12	20					Raise Skeleton														1	8	8	1	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment									7	hp%/lvl					10	ac/lvl							1								8																																				512	8000
Confuse	81	nec	confuse		61																2		confuse	ln34	ln12																																																				necromancer_curse_cast														18	30					curseconfuse		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast			18	20					Dim Vision														1	8	13	0	1																		6	radius	1	radius per level	250	duration	50	additional duration/level									1								8																																				640	16000
Life Tap	82	nec	life tap		30																3		lifetap	ln34	ln12													damagedinmelee	5	damagedbymissile	5																																				necromancer_curse_cast									steallife					18	30					cursereversevampire		cursecast										1	4		none												SC	SC	S2					4												1						necromancer_curse_cast			18	20					Iron Maiden														1	8	9	0	1										ln56	hp % returned							4	radius	1	radius per level	400	duration	60	additional duration/level	50	% damage healed	0	% additional heal/level					1								8																																				640	16000
Poison Explosion	83	nec	poison explosion	17	63												poisonexplosioncloud								ln34																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	33					poisoncorpseexplosion	poisonexplosioncloud	greenlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast			18	20					Poison Dagger	Corpse Explosion													1	8	8	0	1																																15	damage synergy	1								4															pois	8	2	4	6	8	10	24	2	4	6	8	10	(skill('Poison Dagger'.blvl)+skill('Poison Nova'.blvl))*par8	50	10	10	10				640	16000
Bone Spear	84	nec	bone spear											bonespear																																																															necromancer_bone_cast														19					bonespear			bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast			18	20					Corpse Explosion								1						1	6	28	1	1																																7	damage synergy	1								8															mag	16	8	9	12	18	24	24	8	9	13	19	25	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spirit'.blvl))*par8								640	16000
BloodGolem	85	nec	bloodgolem		56																																	domeleedamage	23	damagedinmelee	26	damagedbymissile	26					velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	damagepercent	par4 * (lvl - 1) + (skill('FireGolem'.blvl)*skill('FireGolem'.par8))	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)					BloodGolem	golem	1	S1														necromancer_golem_cast																																1	5		none												SC	SC	xx					4																					18	20					Clay Golem														1	8	25	4	1	1									skill('Golem Mastery'.ln12)	hp % adjustment							75	min % life stolen	150	max % life stolen	30	% stolen life xfer to caster	35	%additional golem damage per level	0	% damage on golem xfered to caster	25	% caster healing xfered to golem			5	blood golem life synergy	1								8																																				640	16000
Attract	86	nec	attract	18	59																2		attract	ln34	ln12																																																				necromancer_curse_cast														18	30					curseattract		cursecast										1	0		none												SC	SC	xx					4			1									1									24	20					Confuse														1	8	17	0	1																		9	radius	0	radius per level	300	duration	90	additional duration/level									1								8																																				768	32000
Decrepify	87	nec	decrepify		30																3		decrepify	ln34	ln12	velocitypercent	par5	damagepercent	par5	damageresist	par5	attackrate	par5																																												necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast			24	20					Terror														1	8	11	0	1																		6	radius	0	radius per level	100	duration	15	additional duration/level	-50	"% slowed, -dam, -dam resist"							1								8																																				768	32000
Bone Prison	88	nec	bone prison	19	62																																																							bonewall	none		NU														necromancer_bone_cast														22																		1	10		none												SC	SC	xx					4			1									1				1		necromancer_bone_cast			24	20					Bone Wall	Bone Spear													1	8	27	-1	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)	hp % adjustment							25	% additional HP per level	600	MAX duration											8	life synergy	1								8																																				768	32000
Summon Resist	89	nec	summon resist																																											summonresist		passive_summon_resist	dm12																																																												1	6		none												SC	SC	xx																										24	20					Golem Mastery								1						1	8	44	-3	1						1												20	min % resist	75	max % resist													1								8																																				768	32000
IronGolem	90	nec	irongolem	20	57																	thorns				thorns_percent	ln12	fade	16																			velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	lvl*par8	damagepercent	(skill('FireGolem'.blvl)*skill('FireGolem'.par8))					IronGolem	golem	1	S1													1	necromancer_golem_cast														23																		1	5		none												SC	SC	xx					4			1						1												24	20					BloodGolem														1	8	35	0	1	1									skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	hp % adjustment							150	% thorns damage back (level 2)	15	% thorns damage back per level											35	iron golem armor synergy	1								8																																				768	32000
Lower Resist	91	nec	lower resist		30																3		lowerresist	ln34	ln12	fireresist	-dm56	lightresist	-dm56	coldresist	-dm56	poisonresist	-dm56																																												necromancer_curse_cast														18	30					curselowerresist		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast			30	20					Life Tap	Decrepify													1	8	22	0	1																		7	radius	1	radius per level	500	duration	50	additional duration/level	25	min % resist lower	70	max % resist lower					1								8																																				896	64000
Poison Nova	92	nec	poison nova		22												poisonnova																																																												necromancer_poison_cast															25					poisonnova												1	3		none												SC	SC	xx																	1						necromancer_poison_cast			30	20					Poison Explosion														1	8	20	0	1																																10	damage synergy	1								4															pois	16	4	6	9	14	16	29	4	6	9	14	16	(skill('Poison Dagger'.blvl)+skill('Poison Explosion'.blvl))*par8	50							896	64000
Bone Spirit	93	nec	bone spirit		10												bonespirit	bonespirit																																																											necromancer_bone_cast															18					bonespirit												1	7		none												SC	SC	xx																	1			4			necromancer_bone_cast			30	20					Bone Spear								1						1	7	24	1	1										0	+ dmg%																					6	damage synergy	1								8															mag	20	16	17	18	19	20	30	17	18	19	20	21	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spear'.blvl))*par8								896	64000
FireGolem	94	nec	firegolem		56																					fireresist	100 - dm12	item_absorbfire_percent	dm12	firemindam	edmn	firemaxdam	edmx															velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)							FireGolem	golem	1	S1	holy fire	"min(ln56,30)"												necromancer_golem_cast																																1	6		none												SC	SC	xx					4												1									30	20					IronGolem														1	8	50	10	1	1									skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	hp % adjustment							25	min % fire absorbtion	100	max % fire absorbtion	100	% damage increase	35	% damage increase per level	8	Holy Fire Aura level	1	Plus Holy Fire Aura level			6	fire golem damage synergy	1								8															fire	10	9	10	11	12	13	27	10	11	12	13	14									896	64000
Revive	95	nec	revive	21	58																					damagepercent	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)																					velocitypercent	par5												revive	lvl	NU													1	necromancer_revive_cast								necromancer_revive_target						24						revivemedium	revivesmall	revivelarge										1	6		none												SC	SC	xx					4			1		3	1															30	20					Raise Skeletal Mage	IronGolem													1	8	45	0	1										par1+skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3)	hp % adjustment	ln34	duration					200	additional hp percent			4500	Duration	0	additional duration/level	50	Velocity bonus for revived							1								8																																				896	64000
Sacrifice	96	pal	sacrifice	29	64																																																																								paladin_sacrifice		1													34					blood1				3	blood1-bigblood1							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1											1	20													1						0	8	0	0	1										ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7	damage %	par3	damage self %					180	Percent damage	15	percent damage per level	8	percent damage to self							5	damage synergy	15	damage synergy	1	20	7						8	128																																			256	1000
Smite	97	pal	smite		150																																																																								weapon_2hs_large_1		1																														1	9		h2h	4	shld										S1	S1	xx				1		1	1								1											1	20													1						1	8	2	0											ln34	damage %	"min(250,ln12)"	stunlen					15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									1				8				8																																				256	1000
Might	98	pal	might		65																73731	might	might		ln12	damagepercent	ln34																																																																																	1	1	9		none														xx																										1	20																			1	8	0	0	1	1	1		50														16	radius	2	additional radius per level	40	% additional damage	10	% additional damage/level									1								8																																				256	1000
Prayer	99	pal	prayer		65																73731	prayer	prayer		ln12	hitpoints	edns																																																																																		1	7		none														xx																										1	20																			1	4	16	3	1	1	1		50														16	radius	2	additional radius per level													1								8																2	1	1	2	2	3															256	1000
Resist Fire	100	pal	resist fire		65																73731	resistfire	resistfire		ln12	fireresist	dm34	maxfireresist	skill('Resist Fire'.blvl)																	passive_resistfire		maxfireresist	skill('Resist Fire'.blvl)/2																																																											1	1	8		none														xx																										1	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist									1								8																																				256	1000
Holy Bolt	101	pal	holy bolt											holybolt																																																															paladin_holybolt_cast											cast_undead								holybolt													1	7		none												SC	SC	xx												1	1				1						paladin_holybolt_cast	cast_undead		6	20													1						1	4	32	1	1										ln12 * (100 + skill('Prayer'.blvl) * par7) / 100	min heal	ln34 * (100 + skill('Prayer'.blvl) * par7) / 100	max heal					1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	4	hitpoints healed per level					15	heal synergy	50	damage synergy	1								8															mag	8	8	10	13	16	20	16	8	11	15	18	23	(skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl))*par8								384	3000
Holy Fire	102	pal	holy fire		66																42883	holyfire			ln12																							firemindam	enms*par5/256	firemaxdam	exms*par5/256																																																										1	0		none														xx																										6	20					Might														0	8	0	0	1	1	1		50														6	radius	1	additional radius per level					6	damage to attack multiplier			6	damage synergy	18	damage synergy	1				16385				7															fire	2	1	2	3	5	7	6	1	2	3	5	7	skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7								384	3000
Thorns	103	pal	thorns		65																73731	thorns	thorns		ln12	thorns_percent	ln34																																																																																		1	9		none														xx																										6	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	250	% damage bounced back	40	% additional bounce back/level									1								8																																				384	3000
Defiance	104	pal	defiance		65																73731	defiance	defiance		ln12	skill_armor_percent	ln34																																																																																	1	1	4		none														xx																										6	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	70	% additional AC	10	% additional AC/level	0	?	0	?					1								8																																				384	3000
Resist Cold	105	pal	resist cold		65																73731	resistcold	resistcold		ln12	coldresist	dm34	maxcoldresist	skill('Resist Cold'.blvl)																	passive_resistcold		maxcoldresist	skill('Resist Cold'.blvl)/2																																																											1	1	6		none														xx																										6	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist	0	?	0	?					1								8																																				384	3000
Zeal	106	pal	zeal	37	13																																																																							1	paladin_zeal														53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1											12	20					Sacrifice								1						1	8	2	0											"min((par5 + lvl -1), par6)"	max targets	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8	damage %							100	% frame rollback	0	% damage percent	6	damage % per level	2	Targets	5	Max targets			12	damage synergy	1	10	10						8	128																																			512	8000
Charge	107	pal	charge	31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1											12	20					Smite								1						1	8	9	0											ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity	0	?	100	plus % damage	25	plus % dam per level	2	Trails	0	?			20	damage synergy	1	50	15						8	128																																			512	8000
Blessed Aim	108	pal	blessed aim		65																73731	blessedaim	blessedaim		ln12	item_tohit_percent	ln34																			penetrate		item_tohit_percent	skill('Blessed Aim'.blvl) * par8																																																											1	1	6		none														xx																										12	20					Might														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	75	% attack# bonus	15	% additional attack# bonus	0	?	0	?			5	passive to hit bonus	1								8																																				512	8000
Cleansing	109	pal	cleansing		65																73731	cleansing	cleansing		ln12	item_poisonlengthresist	100-dm34	hitpoints	skill('Prayer'.edns)																																																																																1	3		none														xx																										12	20					Prayer														0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	30	min % reduction	90	max % reduction	0	?	0	?					1								8																																				512	8000
Resist Lightning	110	pal	resist lightning		65																73731	resistlight	resistlight		ln12	lightresist	dm34	maxlightresist	skill('Resist Lightning'.blvl)																	passive_resistltng		maxlightresist	skill('Resist Lightning'.blvl)/2																																																											1	1	6		none														xx																										12	20																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist	0	?	0	?					1								8																																				512	8000
Vengeance	111	pal	vengeance	35	2																																																																											1																													1	3		h2h		mele										A1	A1	xx				1		1	1								1											18	20					Zeal								1						1	6	16	1	1										ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7	fire damage%	ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7	cold damage%	ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7	ltng damage%			70	percent damage	6	percent damage per level	0	?	0	?	0	?	0	?	2	damage synergy	10	damage synergy	1	20	10						8	128														cold														30	15	15	15				640	16000
