skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
might	2	1	1	2	0	4	skillname98	skillsd98	skillld98	skillan98	StrSkill3																	2	StrSkill4	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
prayer	3	1	1	3	0	6	skillname99	skillsd99	skillld99	skillan99	StrSkill3																	1					4	StrSkill50		edmn		19	StrSkill18		ln12																																																																								0
resist fire	3	1	3	3	0	8	skillname100	skillsd100	skillld100	skillan100	StrSkill3																	2	StrSkill51	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
holy bolt	1	2	2	1	0	10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		ln12 * (100 + skill('Prayer'.blvl) * par7) / 100	ln34 * (100 + skill('Prayer'.blvl) * par7) / 100	10																																								40	Sksyn	skillname101	2		63	skillname112	Magdplev	par8		63	skillname121	Magdplev	par8		63	skillname99	Healplev	par7																	0
holy fire	2	2	2	2	0	12	skillname102	skillsd102	skillld102	skillan102	StrSkill3	5																1					43	StrSkill5		edns	edxs	38	StrSkill5	strEskilllighttoattack	edns*par5/256	edxs*par5/256	19	StrSkill18		ln12																																40	Sksyn	skillname102	2		63	skillname100	Firedplev	par8		63	skillname125	Firedplev	par7																						0
thorns	2	2	3	2	0	14	skillname103	skillsd103	skillld103	skillan103	StrSkill3																	7	StrSkill55		ln34		19	StrSkill18		ln12																																																																													0
defiance	3	2	2	3	0	16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	2	StrSkill31	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
resist cold	3	2	3	3	0	18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																	2	StrSkill52	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
zeal	1	3	1	1	0	20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8											2				1					7	StrSkill11		"min((par5 + lvl -1), par6)"		2	StrSkill4	StrSkill23	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8		2	StrSkill30	StrSkill23	toht																																40	Sksyn	skillname106	2		63	skillname96	Damplev	par8																											0
charge	1	3	3	1	0	22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8																																					40	Sksyn	skillname107	2		63	skillname115	Damplev	par8		63	skillname98	Damplev	par8																						0
blessed aim	2	3	1	2	0	24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	2	StrSkill22	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
cleansing	3	3	1	3	0	38	skillname109	skillsd109	skillld109	skillan109	StrSkill3																	4	StrSkill50		skill('Prayer'.edmn)		3	StrSkill74	StrSkill23	dm34		19	StrSkill18		ln12																	67	skillname99	Healplev2	skill('Prayer'.edmn)																	40	Sksyn	skillname109	2		18	skillname99																													0
resist lightning	3	3	3	3	0	28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																	2	StrSkill53	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
vengeance	1	4	1	1	0	40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	11												1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill7	StrSkill23	ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7		2	StrSkill6	StrSkill23	ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7		2	StrSkill5	StrSkill23	ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7		11					2	StrSkill30	StrSkill23	ln34																	40	Sksyn	skillname111	2		63	skillname100	Firedplev	par8		63	skillname105	Colddplev	par8		63	skillname110	Ltngdplev	par8		63	skillname125	ElemDampLev	par7												0
blessed hammer	1	4	2	1	0	32	skillname112	skillsd112	skillld112	skillan112	StrSkill3	12																1					48																																													40	Sksyn	skillname112	2		63	skillname108	Magdplev	par8		63	skillname115	Magdplev	par8																						0
concentration	2	4	1	2	0	34	skillname113	skillsd113	skillld113	skillan113	StrSkill3																	1					2	StrSkill4	StrSkill23	ln34		3	StrSkill76	StrSkill23	par5		19	StrSkill18		ln12																																																																			0
holy freeze	2	4	2	2	0	36	skillname114	skillsd114	skillld114	skillan114	StrSkill3	5																3	StrSkill77	StrSkill23	dm34		10					38	StrSkill6	strEskilllighttoattack	edns*par5/256	edxs*par5/256	19	StrSkill18		ln12																																40	Sksyn	skillname114	2		63	skillname105	Colddplev	par8		63	skillname125	Colddplev	par7																						0
vigor	3	4	2	3	0	26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	2	StrSkill69	StrSkill23	ln34		2	StrSkill71	StrSkill23	ln34		2	StrSkill70	StrSkill23	dm56		19	StrSkill18		ln12																																																																			0
conversion	1	5	1	1	0	30	skillname116	skillsd116	skillld116	skillan116	StrSkill3	5												1				1					12	StrSkill20		ln12		3	StrSkill99	StrSkill23	dm34																																																																								0
holy shield	1	5	3	1	0	42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	1					2	StrSkill110	StrSkill23	dm56		2	StrSkill31	StrSkill23	ln34+skill('Defiance'.blvl)*par8		12	StrSkill20		ln12		49	ItemStats1o																													40	Sksyn	skillname117	2		63	skillname104	Defplev	par8																											0
holy shock	2	5	2	2	0	44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																10					38	StrSkill7	strEskilllighttoattack	1	edxs*par5/256	19	StrSkill18		ln12																																					40	Sksyn	skillname118	2		63	skillname110	Ltngdplev	par8		63	skillname125	Ltngdplev	par7																						0
sanctuary	2	5	3	2	0	46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																10					67	ModStr4f	StrSkill23	ln34		19	StrSkill18		ln12																																					40	Sksyn	skillname119	2		63	skillname109	Magdplev	par8																											0
meditation	3	5	1	3	0	48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	4	StrSkill50		skill('Prayer'.edmn)		2	StrSkill88	StrSkill23	ln34		19	StrSkill18		ln12																	67	skillname99	Healplev2	skill('Prayer'.edmn)																	40	Sksyn	skillname120	2		18	skillname99																													0
fist of the heavens	1	6	2	1	0	50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													fistoftheheavensbolt			1					10					50	StrSkill91																																							40	Sksyn	skillname121	2		63	skillname101	Hbdplev	15		63	skillname118	Ltngdplev	par8																						0
fanaticism	2	6	1	2	0	52	skillname122	skillxsd122	skillxld122	skillan122	StrSkill3																	1					2	StrSkill22	StrSkill23	toht		2	StrSkill106	StrSkill23	dm34		2	FanYDam	StrSkill23	ln56		2	PartDam	StrSkill23	ln56/2		19	StrSkill18		ln12																																																									0
conviction	2	6	3	2	0	56	skillname123	skillxsd123	skillld123	skillan123	StrSkill3																	3	StrSkill90	StrSkill23	"-min(ln34,150)"		2	StrSkill21	StrSkill23	-dm56		19	StrSkill18		ln12																																																																								0
redemption	3	6	2	3	0	54	skillname124	skillsd124	skillxld124	skillan124	StrSkill3																	3	StrSkill107	StrSkill108	ln56		3	StrSkill109	StrSkill23	dm34		19	StrSkill18		ln12																																																																								0
salvation	3	6	3	3	0	58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	2	StrSkill54	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
bash	1	1	2	1	0	0	skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	ln34										1				1					4	StrSkill4		ln34		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname126	2		63	skillname139	Damplev	par8		63	skillname144	AttRateplev	par7																						0
sword mastery	2	1	1	2	0	2	skillname127	skillsd127	skillld127	skillan127	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
axe mastery	2	1	2	2	0	4	skillname128	skillsd128	skillld128	skillan128	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
mace mastery	2	1	3	2	0	6	skillname129	skillsd129	skillld129	skillan129	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
howl	3	1	1	3	0	8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	1					12	StrSkill59		ln56		19	StrSkill58		ln34																																																																								0
find potion	3	1	3	3	0	10	skillname131	skillsd131	skillld131	skillan131	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
leap	1	2	1	1	0	12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																	1					19	StrSkill18		dm12																																																																													0
double swing	1	2	3	1	0	14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		2	StrSkill22	StrSkill23	toht																						2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname133	2		63	skillname126	Damplev	par8																											0
pole arm mastery	2	2	1	2	0	16	skillname134	skillsd134	skillld134	skillan134	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
throwing mastery	2	2	2	2	0	18	skillname135	skillsd135	skillld135	skillan135	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
spear mastery	2	2	3	2	0	20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
taunt	3	2	1	3	0	22	skillname137	skillsd137	skillld137	skillan137	StrSkill3																	1					3	StrSkill57	StrSkill23	ln12		3	StrSkill38	StrSkill23	ln34																																																																								0
shout	3	2	2	3	0	24	skillname138	skillsd138	skillld138	skillan138	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ln12																																					40	Sksyn	skillname138	2		67	skillname149	Secplev2	par8/25		67	skillname155	Secplev2	par8/25																						0
stun	1	3	2	1	0	26	skillname139	skillsd139	skillld139	skillan139	StrSkill3	7	clc1											1				1					12	StrSkill20		"min(250,edln)"		3	StrSkill22	StrSkill23	toht																	2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname139	2		63	skillname126	Damplev	par8		63	skillname144	AttRateplev	par7		63	skillname154	Durateplev	par6																	0
double throw	1	3	3	1	0	28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	13												2				5	StrSkill3		usmc/128		8																									2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname140	2		63	skillname133	Damplev	par8																											0
increased stamina	2	3	1	2	0	30	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	2	StrSkill71	StrSkill23	ln12																																																																																		0
find item	3	3	3	3	0	32	skillname142	skillsd142	skillld142	skillan142	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
leap attack	1	4	1	1	0	34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																																					40	Sksyn	skillname143	2		63	skillname132	Damplev	par8																											0
concentrate	1	4	2	1	0	36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht		2	StrSkill31	StrSkill23	ln34												2	StrSkill39	StrSkill23	clc4																	40	Sksyn	skillname144	2		63	skillname126	Damplev	par8		63	skillname149	Damplev	par7		63	skillname152	Magdplev	1																	0
iron skin	2	4	3	2	0	38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																	6	StrSkill23		ln12																																																																																		0
battle cry	3	4	1	3	0	40	skillname146	skillsd146	skillld146	skillan146	StrSkill3																	1					3	StrSkill4	StrSkill23	ln56		3	StrSkill21	StrSkill23	ln34		12	StrSkill20		ln12																																																																			0
frenzy	1	5	3	1	0	42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		52	StrSkill89	StrSkill23	15*(par4-par3)/100+par3	dm34	52	StrSkill106	StrSkill23	15*(par6-par5)/100+par5	dm56	2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1							12	StrSkill20		par7		2	StrSkill39	StrSkill23	clc4												40	Sksyn	skillname147	2		63	skillname133	Damplev	par8		63	skillname137	Damplev	par8		63	skillname152	Magdplev	1																	0
increased speed	2	5	1	2	0	44	skillname148	skillsd148	skillld148	skillan148	StrSkill3																	2	StrSkill89	StrSkill23	dm12																																																																																		0
battle orders	3	5	2	3	0	46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					3	StrSkill101	StrSkill23	ln34		3	StrSkill100	StrSkill23	ln34		3	StrSkill102	StrSkill23	ln34		12	StrSkill20		len																											40	Sksyn	skillname149	2		67	skillname138	Secplev2	par8/25		67	skillname155	Secplev2	par8/25																						0
grim ward	3	5	3	3	0	48	skillname150	skillsd150	skillld150	skillan150	StrSkill3																	1					19	StrSkill18		ln12		12	StrSkill20		ln34																																																																								0
whirlwind	1	6	1	1	0	50	skillname151	skillsd151	skillld151	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																																																																								0
berserk	1	6	2	1	0	52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	7	clc1											2				1					12	StrSkill20		"par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))"		2	StrSkill39	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname152	2		63	skillname130	Damplev	par8		63	skillname138	Damplev	par8																						0
natural resistance	2	6	3	2	0	54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	2	StrSkill90	StrSkill23	dm12																																																																																		0
war cry	3	6	1	3	0	56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					12	StrSkill48		"min(250,ln12)"		9					10																																			40	Sksyn	skillname154	2		63	skillname130	Damplev	par8		63	skillname137	Damplev	par8		63	skillname146	Damplev	par8																	0
battle command	3	6	2	3	0	58	skillname155	skillsd155	skillld155	skillan155	StrSkill3																	1					12	StrSkill20		len																																										40	Sksyn	skillname155	2		67	skillname138	Secplev2	par8/25		67	skillname149	Secplev2	par8/25																						0
scroll of identify	0	0	0	4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
book of identify	0	0	0	4	0	14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
scroll of townportal	0	0	0	4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
book of townportal	0	0	0	4	0	18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
raven	1	1	2	1	0	0	Skillname222	Skillsd222	Skillld222	Skillan222	Eskillincaseraven																	1					5	ESkillHawk		"min(lvl,par2)"		7	StrSkill11		ln56		9																																																																						0
plague poppy	1	1	3	1	0	2	Skillname223	Skillsd223	Skillld223	Skillan223	StrSkill3																	1					14					13			(lvl-1)*par3																																																																								0
wearwolf	2	1	1	2	0	20	Skillname224	Skillsd224	Skillld224	Skillan224	StrSkill3																	2	StrSkill106	StrSkill23	dm34		2	StrSkill10	StrSkill23	toht																						12	StrSkill20		1000+skill('shape shifting'.ln12)		2	StrSkill71	StrSkill23	par1		2	StrSkill42	StrSkill23	par2+skill('shape shifting'.ln34)		1					40	Sksyn	Skillname224	2		18	Skillname225																													0
shape shifting	2	1	2	2	0	52	Skillname225	Skillsd225	Skillld225	Skillan225	StrSkill3																	57	StrSkill20		ln12		2	StrSkill100	StrSkill23	ln34																																																																													0
firestorm	3	1	1	3	0	32	Skillname226	Skillsd226	Skillld226	Skillan226	StrSkill3	9																27																														1																				40	Sksyn	Skillname226	2		63	Skillname230	Firedplev	par8		63	Skillname235	Firedplev	par8																						0
oak sage	1	2	1	1	0	16	Skillname227	Skillsd227	Skillld227	Skillan227	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill42	StrSkill23	ln12		13			(lvl-1)*par1																																																																			0
summon spirit wolf	1	2	2	1	0	6	Skillname228	Skillsd228	Skillld228	Skillan228	StrSkill3																	2	StrSkill21	StrSkill23	ln56		2	StrSkill22	StrSkill23	ln12		5	ESkillWolves		"min(lvl,par3)"		9			skill('Summon Grizzly'.ln12)												13			(skill('summon fenris'.lvl) > 0) ? skill('summon fenris'.ln12) : 0		1															40	Sksyn	Skillname228	2		25	Skillname238				25	Skillname248																								0
wearbear	2	2	3	2	0	22	Skillname229	Skillsd229	Skillld229	Skillan229	StrSkill3																	2	StrSkill21	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln12																						12	StrSkill20		1000+skill('shape shifting'.ln12)		2	StrSkill42	StrSkill23	par5 + skill('Shape Shifting'.ln34)		1										40	Sksyn	Skillname229	2		18	Skillname225																													0
molten boulder	3	2	1	3	0	34	Skillname230	Skillsd230	Skillld230	Skillan230	StrSkill3	5													moltenboulderfirepath			1					22					10					9																																			40	Sksyn	Skillname230	2		63	Skillname245	Damplev	par7		63	Skillname226	Firedplev	par8																						0
arctic blast	3	2	3	3	0	36	Skillname231	Skillsd231	Skillld231	Skillan231	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		ln12/4		11					26															5	StrSkill115		par3																	40	Sksyn	Skillname231	2		63	Skillname251	Colddplev	par8		63	Skillname236	Colddplev	par8																						0
cycle of life	1	3	3	1	0	8	Skillname232	Skillsd232	Skillld232	Skillan232	StrSkill3																	1					3	StrSkill50	StrSkill23	dm56		13			(lvl-1)*par3																																																																								0
feral rage	2	3	1	2	0	54	Skillname233	Skillsd233	Skillld233	Skillan233	StrSkill3	7	ln56											2				2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln56		52	EskillLifeSteal	StrSkill23	4	par2 * lvl + 8	52	StrSkill89	StrSkill23	19	((110*(par8+lvl/par7)) * (par4-par3))/(100 * ((par8+lvl/par7)+6)) + par3											12	StrSkill20		par1		1																																																		0
maul	2	3	3	2	0	56	Skillname234	Skillsd234	Skillld234	Skillan234	StrSkill3	1												2				2	StrSkill22	StrSkill23	toht		52	StrSkill4	StrSkill23	par3	par3 * (lvl/par7+par8)	12	StrSkill48		dm56																	12	StrSkill20		par4		1																																																		0
eruption	3	3	1	3	0	38	Skillname235	Skillsd235	Skillld235	Skillan235	StrSkill3	5													erruption center			23	StrSkill20				10																									1																				40	Sksyn	Skillname235	2		63	Skillname226	Firedplev	par8		63	Skillname245	Firedplev	par8																						0
cyclone armor	3	3	3	3	0	40	Skillname236	Skillsd236	Skillld236	Skillan236	StrSkill3																	1					3	StrSkill40	StrSkill41	(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)																																										40	Sksyn	Skillname236	2		63	Skillname241	Damplev	par8		63	Skillname246	Damplev	par8		63	Skillname251	Damplev	par8																	0
heart of wolverine	1	4	1	1	0	10	Skillname237	Skillsd237	Skillld237	Skillan237	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill22	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln56		13			(lvl-1)*par1																																																														0
summon fenris	1	4	2	1	0	12	Skillname238	Skillsd238	Skillld238	Skillan238	StrSkill3																	2	StrSkill42	StrSkill23	ln12		5	ESkillWolves		"min(lvl,par3)"		9			skill('Summon Grizzly'.ln12)		13			ln12												2	StrSkill21	StrSkill23	skill('Summon Spirit Wolf'.ln56)		2	StrSkill22	StrSkill23	skill('Summon Spirit Wolf'.ln12)		1										40	Sksyn	Skillname238	2		25	Skillname228									25	Skillname248																			0
rabies	2	4	1	2	0	24	Skillname239	Skillsd239	Skillld239	Skillan239	StrSkill3	23												2				14					2	StrSkill22	StrSkill23	toht																						1																				40	Sksyn	Skillname239	2		63	Skillname223	Poisdplev	par8																											0
fire claws	2	4	2	2	0	26	Skillname240	Skillsd240	Skillld240	Skillan240	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		10					9																																			40	Sksyn	Skillname240	2		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8		63	Skillname235	Firedplev	par8		63	Skillname245	Firedplev	par8												0
twister	3	4	2	3	0	42	Skillname241	Skillsd241	Skillld241	Skillan241	StrSkill3	5																9																														1					12	StrSkill48		par2												40	Sksyn	Skillname241	2		63	Skillname246	Damplev	par8		63	Skillname251	Damplev	par8																						0
vines	1	5	3	1	0	14	Skillname242	Skillsd242	Skillld242	Skillan242	StrSkill3																	1					3	StrSkill88	StrSkill23	dm56							13			(lvl-1)*par3																																																																			0
hunger	2	5	2	2	0	58	Skillname243	Skillsd243	Skillld243	Skillan243	StrSkill3	14												1				1					2	StrSkill22	StrSkill23	toht		3	EskillManaSteal	StrSkill23	dm34		3	EskillLifeSteal	StrSkill23	dm12												3	StrSkill4	StrSkill23	par5																																																				0
shock wave	2	5	3	2	0	28	Skillname244	Skillsd244	Skillld244	Skillan244	StrSkill3	5																1					10					9					12	StrSkill48		ln12																																40	Sksyn	Skillname244	2		63	Skillname234	Damplev	par8																											0
volcano	3	5	1	3	0	44	Skillname245	Skillsd245	Skillld245	Skillan245	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname245	2		63	Skillname230	Damplev	par7		63	Skillname235	Firedplev	par8		63	Skillname250	Firedplev	par8																	0
tornado	3	5	2	3	0	46	Skillname246	Skillsd246	Skillld246	Skillan246	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname246	2		63	Skillname236	Damplev	par8		63	Skillname241	Damplev	par8		63	Skillname251	Damplev	par8																	0
spirit of barbs	1	6	1	1	0	4	Skillname247	Skillsd247	Skillld247	Skillan247	StrSkill3																	1					19	StrSkill18		ln78		7	StrSkill55		ln34		13			(lvl-1)*par1																																																																			0
summon grizzly	1	6	2	1	0	18	Skillname248	Skillsd248	Skillld248	Skillan248	StrSkill3																	2	StrSkill4	StrSkill23	ln12		9			ln12																						2	StrSkill21	StrSkill23	skill('Summon Spirit Wolf'.ln56)		2	StrSkill22	StrSkill23	skill('Summon Spirit Wolf'.ln12)		13			skill('summon fenris'.ln12)		1					40	Sksyn	Skillname248	2		25	Skillname228				25	Skillname238																								0
fury	2	6	1	2	0	30	Skillname249	Skillsd249	Skillld249	Skillan249	StrSkill3	7	ln34											2				1					2	StrSkill4	StrSkill23	ln34		2	StrSkill30	StrSkill23	toht		7	StrSkill11		"min((par5+lvl-1),par6)"																																																																			0
armageddon	3	6	1	3	0	50	Skillname250	Skillsd250	Skillld250	Skillan250	StrSkill3	5													armageddonfire			10					22																									1					19	StrSkill18		par3		12	StrSkill20		ln12 + skill('Eruption'.blvl) * par7							40	Sksyn	Skillname250	2		67	Skillname235	Secplev2	2		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8		63	Skillname245	Firedplev	par8												0
hurricane	3	6	2	3	0	48	Skillname251	Skillsd251	Skillld251	Skillan251	StrSkill3	5																10																														1					19	StrSkill18		par3		12	StrSkill20		ln12 + skill('Cyclone Armor'.blvl) * par7							40	Sksyn	Skillname251	2		67	Skillname236	Secplev2	2		63	Skillname241	Damplev	par8		63	Skillname246	Damplev	par8																	0
fire trauma	1	1	2	1	0	0	Skillname252	Skillsd252	Skillld252	Skillan252	StrSkill3	5																1					10																									19	StrSkill18		par1																	40	Sksyn	Skillname252	2		63	Skillname257	Firedplev	par8		63	Skillname262	Firedplev	par8		63	Skillname263	Firedplev	par8		63	Skillname272	Firedplev	par8		63	Skillname273	Firedplev	par8		63	Skillname277	Firedplev	par8		0
claw mastery	2	1	2	2	0	20	Skillname253	Skillsd253	Skillld253	Skillan253	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
psychic hammer	2	1	3	2	0	22	Skillname254	Skillsd254	Skillld254	Skillan254	StrSkill3	5																1			100		11					10					9																																																																						0
tiger strike	3	1	2	3	0	40	Skillname255	Skillsd255	Skillld255	Skillan255	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillpuddgmper	3*ln12		2	Eskillpowerup2	Eskillpuddgmper	2*ln12		2	Eskillpowerup1	Eskillpuddgmper	ln12																																																														0
dragon talon	3	1	3	3	0	42	Skillname256	Skillsd256	Skillld256	Skillan256	StrSkill3	15												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12		36	EskillKickSing	EskillKickPlur	lvl/6+1																																																																			0
shock field	1	2	1	1	0	2	Skillname257	Skillsd257	Skillld257	Skillan257	StrSkill3	5													shock field on ground			1					38	StrSkill7	StrSkill34	edmn	edmx	23	StrSkill20				5	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)/3																																40	Sksyn	Skillname257	2		71	Skillname252	Missplev3	3		63	Skillname262	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8												0
blade sentinel	1	2	3	1	0	4	Skillname258	Skillsd258	Skillld258	Skillan258	StrSkill3	5																72	WeapDamsk		3	8	9					12	StrSkill20		ln12																	1																																																							0
quickness	2	2	1	2	0	36	Skillname259	Skillsd259	Skillld259	Skillan259	StrSkill3																	1					12	StrSkill20		ln56		2	StrSkill89	StrSkill23	dm12		2	StrSkill106	StrSkill23	dm34																																																																			0
fists of fire	3	2	1	3	0	44	Skillname260	Skillsd260	Skillld260	Skillan260	StrSkill3	20			fire	enma	exma	fire	enma	exma	fire	enma+m1eo*50/256	exma+m1ey*50/256	2	fistsoffirefirewall			1					2	StrSkill22	StrSkill23	toht		17	Eskillfistsoffire1	Eskillpowerup3	m1eo*50/256	m1ey*50/256	19	Eskillfistsoffire2	Eskillpowerup2	par1		24	Eskillfistsoffire1	Eskillpowerup1																												40	Sksyn	Skillname260	2		63	Skillname281	Firedplev	par8																											0
