Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
of Radiance	1	1	1	15		11				1	25	light		3	3	att		30	30							rod	miss	ring	amul	helm								0	0	0
of the Sun	1	1	1	17		12				1	25	light		5	5	att%		5	5							rod	miss	glov	ring	amul	helm							0	0	0
of the Jackal	1	1	1	1		1				3	26	hp		1	5											tors	belt	amul	phlm	circ								0	0	0
of the Fox	1	1	1	7		5				3	26	hp		6	10											tors	belt	amul	phlm	circ								0	0	0
of the Wolf	1	1	1	15		11				3	26	hp		11	20											tors	belt	amul	phlm	circ								0	0	0
of the Tiger	1	1	1	20		15				3	26	hp		21	30											tors	belt	amul	phlm	circ								0	0	0
of the Mammoth	1	1	1	25		18				3	26	hp		31	40									1	cred	tors	belt	amul	phlm	circ								0	0	0
of the Colosuss	1	1	1	30		22				3	26	hp		41	60									1	cred	tors	belt	amul	phlm	circ								0	0	0
of the Squid	100	1		40		30				3	26	hp		61	80									1	cred	tors	belt	amul	phlm	circ								0	0	0
of the Whale	100	1		50		37				3	26	hp		81	100									1	cred	tors	belt	amul	phlm	circ								0	0	0
of the Jackal	100	1	1	4		3				3	26	hp		1	5											shld	pelt											0	0	0
of the Fox	100	1	1	11		8				3	26	hp		6	10											shld	pelt											0	0	0
of the Wolf	100	1	1	27		20				3	26	hp		11	20											shld	pelt											0	0	0
of the Tiger	100	1	1	43		35				3	26	hp		21	30											shld	pelt											0	0	0
of the Mammoth	100	1	1	59		51				3	26	hp		31	40									1	cred	shld	pelt											0	0	0
of the Colosuss	100	1		75		67				3	26	hp		41	60									1	cred	shld	pelt											0	0	0
of the Jackal	1	1	1	8		6				3	26	hp		1	5											club	hamm	mace	ring	helm								0	0	0
of the Fox	1	1	1	17		13				3	26	hp		6	10											club	hamm	mace	ring	helm								0	0	0
of the Wolf	1	1	1	34		26				3	26	hp		11	20											club	hamm	mace	ring	helm								0	0	0
of the Tiger	1	1	1	51		43				3	26	hp		21	30											club	hamm	mace	ring	helm								0	0	0
of the Mammoth	1	1	1	68		60				3	26	hp		31	40									1	cred	club	hamm	mace	ring	helm								0	0	0
of Life	100	1	1	1		1				4	26	hp		5	10											lcha												0	0	0
of Life	100	1	1	9		6				4	26	hp		11	15											lcha												0	0	0
of Life	100	1	1	19		14				4	26	hp		16	20											lcha												0	0	0
of Substinence	100	1	1	31		23				4	26	hp		21	25											lcha												0	0	0
of Substinence	100	1	1	45		37				4	26	hp		26	30											lcha												0	0	0
of Substinence	100	1	1	61		53				4	26	hp		31	35											lcha												0	0	0
of Vita	100	1		77		69				4	26	hp		36	40											lcha												0	0	0
of Vita	100	1		91		83				4	26	hp		41	45											lcha												0	0	0
of Vita	100	1		110		97				4	26	hp		46	50											lcha												0	0	0
of Life	100	1	1	1		9				4	26	hp		6	10											mcha												0	0	0
of Life	100	1	1	12		9				4	26	hp		11	15											mcha												0	0	0
of Substinence	100	1	1	26		19				4	26	hp		16	20											mcha												0	0	0
of Substinence	100	1	1	42		34				4	26	hp		21	25											mcha												0	0	0
of Vita	100	1		58		50				4	26	hp		26	30											mcha												0	0	0
of Vita	100	1		74		66				4	26	hp		31	35											mcha												0	0	0
of Life	100	1	1	1		14				4	26	hp		5	10											scha												0	0	0
of Substinence	100	1	1	23		17				4	26	hp		11	15											scha												0	0	0
of Vita	100	1		47		39				4	26	hp		16	20											scha												0	0	0
of Spirit	100	1	1	1		1				4	26	hp		3	8											jewl												0	0	0
of Hope	100	1		45		37				4	26	hp		9	20											jewl												0	0	0
of the Leech	1	1	1	6		4				7	27	lifesteal		4	5											weap							orb					0	0	0
of the Locust	1	1	1	20		15				7	27	lifesteal		6	7									1	cred	mele							orb					0	0	0
of the Lamprey	100	1	1	55		43				7	27	lifesteal		8	9									1	cred	mele							orb					0	0	0
of the Leech	1	1	1	14		10				4	27	lifesteal		3	4											ring	circ											0	0	0
of the Locust	1	1	1	47		35				4	27	lifesteal		5	6											ring	circ											0	0	0
of the Lamprey	100	1	1	77		65				4	27	lifesteal		7	8									1	cred	ring	circ											0	0	0
of the Leech	1	1	1	34		26				4	27	lifesteal		3	3									1	cred	glov												0	0	0
of the Bat	1	1	1	7		4				7	28	manasteal		4	5											weap							orb					0	0	0
of the Wraith	1	1	1	21		16				7	28	manasteal		6	7									1	cred	mele												0	0	0
of the Vampire	100	1	1	56		48				7	28	manasteal		8	9									1	cred	mele												0	0	0
of the Bat	1	1	1	15		11				4	28	manasteal		3	4											amul	circ											0	0	0
of the Wraith	1	1	1	58		40				4	28	manasteal		5	6											amul	circ											0	0	0
of the Vampire	100	1	1	78		66				4	28	manasteal		7	8									1	cred	amul	circ											0	0	0
of the Bat	1	1	1	35		27				4	28	manasteal		3	3									1	cred	glov												0	0	0
of Defiance	1	1	1	25		18				2	29	res-pois-len		75	75									1	dred	tors	shld	amul	circ									0	0	0
of Amelioration	1	1	1	18		13				3	29	res-pois-len		50	50											tors	shld	amul	circ									0	0	0
of Remedy	100	1	1	7		5				3	29	res-pois-len		25	25											armo	ring	amul	circ									0	0	0
of Simplicity	1	1	1	25		18				2	30	ease		-30	-30											tors	weap	shld					rod	orb				0	0	0
of Ease	1	1	1	15		11				3	30	ease		-20	-20											tors	weap	shld					rod	orb				0	0	0
of Freedom	100	1	1	1		1				3	30	ease		-15	-15											jewl												0	0	0
of Strength	1	1	1	1		1				4	31	str		1	2											amul	belt	club	hamm	circ								0	0	0
of Might	1	1	1	10		8				3	31	str		3	5											amul	belt	club	hamm	circ								0	0	0
of the Ox	1	1	1	26		19				3	31	str		6	9											amul	belt	club	hamm	circ								0	0	0
of the Giant	1	1	1	42		34				3	31	str		10	15											amul	belt	club	hamm	circ								0	0	0
of the Titan	1	1	1	58		50				3	31	str		16	20									1	dgld	amul	belt	club	hamm	circ								0	0	0
of Atlus	100	1	1	71		63				3	31	str		21	30									1	dgld	amul	belt	club	hamm	circ								0	0	0
of Strength	1	1	1	5		3				4	31	str		1	2											ring	scep	mace	tors									0	0	0
of Might	1	1	1	21		15				3	31	str		3	5											ring	scep	mace	tors									0	0	0
of the Ox	1	1	1	38		30				3	31	str		6	9											ring	scep	mace	tors									0	0	0
of the Giant	1	1	1	55		47				3	31	str		10	15											ring	scep	mace	tors									0	0	0
of the Titan	100	1	1	74		66				3	31	str		16	20									1	dgld	ring	scep	mace	tors									0	0	0
of Strength	1	1	1	12		8				3	31	str		1	2											mele	glov	shld					blun					0	0	0
of Might	1	1	1	33		25				3	31	str		3	5											mele	glov	shld					blun					0	0	0
of the Ox	1	1	1	45		37				3	31	str		6	9											mele	glov	shld					blun					0	0	0
of the Giant	100	1	1	59		51				3	31	str		10	15									1	dgld	mele	glov						blun					0	0	0
of Strength	100	1	1	1		1				4	31	str		3	4											lcha												0	0	0
of Strength	100	1	1	3		2				4	31	str		2	3											mcha												0	0	0
of Strength	100	1	1	7		5				4	31	str		1	1											scha												0	0	0
of Strength	100	1	1	14		10				4	31	str		5	6											lcha												0	0	0
of Strength	100	1	1	18		13				4	31	str		4	5											mcha												0	0	0
of Strength	100	1	1	22		16				4	31	str		2	2											scha												0	0	0
of Virility	100	1	1	18		13				4	31	str		1	4											jewl												0	0	0
of Pacing	1	1	1	12		8				3	35	move1		10	10											boot	circ											0	0	0
of Haste	1	1	1	22		16				4	35	move2		20	20											boot	circ											0	0	0
of Speed	1	1	1	37		29				4	35	move3		30	30											boot	circ											0	0	0
of Traveling	100	1		65		57				4	35	move3		30	30	stamdrain		80	90							boot												0	0	0
of Acceleration	100	1		51		43				4	35	move3		40	40											boot												0	0	0
of Inertia	100	1	1	19		14				4	35	move3		7	7											lcha												0	0	0
of Inertia	100	1	1	24		18				4	35	move2		5	5											mcha												0	0	0
of Inertia	100	1		35		27				4	35	move1		3	3											scha												0	0	0
of Self-Repair	100	1	1	3		1				3	37	rep-dur	3													weap	armo						thro	miss				0	0	0
of Fast Repair	100	1	1	20		12				2	37	rep-dur	5													weap	armo						thro	miss				0	0	0
of Ages	100	1		50		42				1	39	indestruct														weap	armo						thro	miss				0	0	0
of Replenishing	100	1	1	5		3				6	39	rep-quant	5													thro												0	0	0
of Propogation	100	1	1	24		18				5	39	rep-quant	10													thro												0	0	0
of the Kraken	100	1		20		1				1	41	hp/lvl	6											1	cred	tors	amul	pelt	phlm									0	0	0
of Memory	100	1		20		1				1	41	mana/lvl	6											1	cred	circ	amul	pelt										0	0	0
of the Elephant	100	1		37		7				2	41	hp/lvl	4			mana/lvl	2							1	cred	circ	pelt											0	0	0
of Power	100			1		1				1	42	str/lvl	3											1	dgld	belt	amul											0	0	0
of Grace	100			1		1				1	42	dex/lvl	3											1	dgld	helm	amul											0	0	0
of Grace and Power	100			1		1				1	42	str/lvl	1			dex/lvl	1							1	dgld	amul												0	0	0
of the Yeti	100			1		1				1	43	res-cold/lvl	3											1	lblu	tors	glov	amul										0	0	0
of the Phoenix	100			1		1				1	43	res-fire/lvl	3											1	cred	shld	helm	amul										0	0	0
of the Efreeti	100			1		1				1	43	res-ltng/lvl	3											1	cblu	glov	boot	ring										0	0	0
of the Cobra	100			1		1				1	43	res-pois/lvl	3											1	dyel	belt	ring	amul										0	0	0
of the Elements	100			1		1				10	43	res-cold/lvl	1			res-fire/lvl	1			res-ltng/lvl	1			1	dgld	circ												0	0	0
of Firebolts	100	1	1	16		12				1	44	hit-skill	36	10	8											weap							miss					0	0	0
of Firebolts	100	1	1	6		4				1	44	att-skill	36	5	3											weap							miss					0	0	0
of Firebolts	100	1	1	20		15				1	44	att-skill	36	10	4											weap							miss					0	0	0
of Charged Shield	100	1	1	6		4				1	44	gethit-skill	38	10	3											armo	ring	amul										0	0	0
of Charged Shield	100	1	1	16		12				1	44	gethit-skill	38	12	4											armo	ring	amul										0	0	0
of Charged Shield	100	1	1	26		19				1	44	gethit-skill	38	14	5											armo	ring	amul										0	0	0
of Icebolt	100	1	1	6		4				1	44	att-skill	39	5	3									1	lblu	weap							miss					0	0	0
of Frozen Armor	100										44																											0	0	0
of Static Field	100										44																											0	0	0
of Telekinesis	100	1	1								44																											0	0	0
of Frost Shield	100	1	1	12		9				1	44	gethit-skill	44	5	3									1	lblu	armo	amul											0	0	0
of Ice Blast	100										44																											0	0	0
of Blaze	100										44																											0	0	0
of Fire Ball	100										44																											0	0	0
of Nova	100	1	1	18		13				1	44	hit-skill	48	10	3									1	cblu	weap							miss					0	0	0
of Nova	100	1	1	28		21				1	44	hit-skill	48	12	4									1	cblu	weap							miss					0	0	0
of Nova Shield	100	1	1	18		13				1	44	gethit-skill	48	10	3									1	cblu	armo	ring 											0	0	0
of Nova Shield	100	1	1	28		21				1	44	gethit-skill	48	12	4									1	cblu	armo	ring 											0	0	0
of Nova Shield	100	1	1	38		28				1	44	gethit-skill	48	14	5									1	cblu	armo	ring 											0	0	0
of Lightning	100	1	1	18		13				1	44	att-skill	49	5	3									1	cblu	weap							miss					0	0	0
of Lightning	100			12		18		sor	9	1	44	charged	49	50	1									1	cblu	weap												0	0	0
of Shiver Armor	100										44																											0	0	0
of Fire Wall	100										44																											0	0	0
of Enchant	100										44																											0	0	0
of Chain Lightning	100	1	1	25		18				1	44	att-skill	53	5	3											weap	ring	amul					miss					0	0	0
of Chain Lightning	100	1	1	35		26				1	44	att-skill	53	8	3											weap	ring	amul					miss					0	0	0
of Chain Lightning	100	1	1	45		33				1	44	att-skill	53	8	5											weap	ring	amul					miss					0	0	0
of Teleport Shield	100			25		18				1	44	gethit-skill	54	10	3									1	whit	armo	ring	amul										0	0	0
of Teleport Shield	100			35		26				1	44	gethit-skill	54	14	3									1	whit	armo	ring	amul										0	0	0
of Teleport Shield	100			45		33				1	44	gethit-skill	54	18	3									1	whit	armo	ring	amul										0	0	0
of Glacial Spike	100										44																											0	0	0
of Meteor	100										44																											0	0	0
of Thunder Storm	100										44																											0	0	0
of Energy Shield	100										44																											0	0	0
of Blizzard	100										44																											0	0	0
of Chilling Armor	100										44																											0	0	0
of Hydra Shield	100	1	1	40		30				1	44	gethit-skill	62	10	3									1	cred	amul												0	0	0
of Frozen Orb	100										44																											0	0	0
of Dawn	100			30		22				0	45	ac/time	3	10	40																							0	0	0
of Sunlight	100			30		22				0	45	ac/time	0	-10	60																							0	0	0
of Magic Arrows	100	1	1	12		11		ama	1	1	44	charged	6	-30	-10											miss	abow											0	0	0
of Magic Arrows	100			35		28		ama	3	1	44	charged	6	-20	-6											glov												0	0	0
of Fire Arrows	100			13		12		ama	1	1	44	charged	7	-30	-10											miss	abow											0	0	0
of Fire Arrows	100	1	1	40		32		ama	3	1	44	charged	7	-20	-6											glov												0	0	0
of Inner Sight	100	1	1	18		14		ama	2	1	44	charged	8	-30	-6											amul	amaz	circ										0	0	0
of Inner Sight	100	1	1	50		42		ama	5	1	44	charged	8	-20	-4											glov												0	0	0
of Jabbing	100			24		18		ama	3	1	44	charged	10	-60	-7											spea	aspe											0	0	0
of Jabbing	100			50		42		ama	5	1	44	charged	10	-20	-4											glov												0	0	0
of Cold Arrows	100	1	1	15		16		ama	6	1	44	charged	11	-30	-8											miss	abow											0	0	0
of Cold Arrows	100	1	1	47		39		ama	9	1	44	charged	11	-20	-5											glov												0	0	0
of Multiple Shot	100	1	1	18		19		ama	6	1	44	charged	12	-30	-8											miss	abow											0	0	0
of Multiple Shot	100	1	1	63		55		ama	12	1	44	charged	12	-20	-4											glov												0	0	0
of Power Strike	100	1	1	12		13		ama	6	1	44	charged	14	-60	-6											spea	aspe											0	0	0
of Power Strike	100	1	1	55		47		ama	9	1	44	charged	14	-20	-4											glov												0	0	0
of Poison Jab	100			17		18		ama	6	1	44	charged	15	-60	-6											amul	circ											0	0	0
of Poison Jab	100			67		59		ama	13	1	44	charged	15	-20	-3											glov												0	0	0
of Exploding Arrows	100	1	1	30		26		ama	12	1	44	charged	16	-30	-6											miss	abow											0	0	0
of Exploding Arrows	100	1	1	69		61		ama	17	1	44	charged	16	-20	-4											glov												0	0	0
of Slow Missiles	100			33		27		ama	12	1	44	charged	17	-30	-5											amaz												0	0	0
of Slow Missiles	100			68		60		ama	15	1	44	charged	17	-20	-3											glov	amul											0	0	0
of Impaling Strike	100			24		18		ama	12	1	44	charged	19	-60	-6											spea	aspe											0	0	0
of Impaling Strike	100			59		51		ama	15	1	44	charged	19	-20	-4											glov												0	0	0
of Lightning Javelin	100			25		18		ama	12	1	44	charged	20	-60	-6											amul	circ											0	0	0
of Lightning Javelin	100			70		62		ama	17	1	44	charged	20	-20	-3											glov												0	0	0
of Ice Arrows	100	1	1	36		28		ama	18	1	44	charged	21	-30	-5											miss	abow											0	0	0
of Ice Arrows	100	1	1	72		64		ama	22	1	44	charged	21	-20	-3											glov												0	0	0
of Guided Arrows	100			34		26		ama	18	1	44	charged	22	-30	-5											miss	abow											0	0	0
of Guided Arrows	100			69		61		ama	21	1	44	charged	22	-20	-3											glov												0	0	0
of Charged Strike	100	1	1	33		25		ama	18	1	44	charged	24	-60	-5											spea	aspe											0	0	0
of Charged Strike	100	1	1	68		60		ama	21	1	44	charged	24	-20	-3											glov												0	0	0
of Plague Jab	100			35		27		ama	18	1	44	charged	25	-60	-5											amul	circ											0	0	0
of Plague Jab	100			71		63		ama	22	1	44	charged	25	-20	-3											glov												0	0	0
of Immolating Arrows	100			42		36		ama	24	1	44	charged	27	-30	-4											miss	abow											0	0	0
of Immolating Arrows	100			85		77		ama	27	1	44	charged	27	-20	-2											glov												0	0	0
of Fending	100			41		35		ama	24	1	44	charged	30	-60	-5											spea	aspe											0	0	0
of Fending	100			83		75		ama	26	1	44	charged	30	-20	-3											glov												0	0	0
of Freezing Arrows	100	1	1	50		42		ama	30	1	44	charged	31	-30	-4											miss	abow											0	0	0
of Freezing Arrows	100	1	1	94		86		ama	33	1	44	charged	31	-20	-2											glov												0	0	0
of Lightning Strike	100	1	1	47		39		ama	30	1	44	charged	34	-60	-4											spea	aspe											0	0	0
of Lightning Strike	100	1	1	90		82		ama	32	1	44	charged	34	-20	-2											glov												0	0	0
of Lightning Fury	100			49		41		ama	30	1	44	charged	35	-60	-4											amul	circ											0	0	0
of Lightning Fury	100			92		84		ama	33	1	44	charged	35	-20	-2											glov												0	0	0
of Fire Bolts	100	1	1	7		7		sor	1	1	44	charged	36	-30	-10											staf	orb											0	0	0
of Fire Bolts	100	1	1	14		14		sor	1	1	44	charged	36	-20	-6											swor	ring	circ										0	0	0
of Charged Bolts	100	1	1	7		7		sor	1	1	44	charged	38	-30	-10											staf	orb											0	0	0
of Charged Bolts	100	1	1	14		14		sor	1	1	44	charged	38	-20	-6											hamm	mace	scep	ring	circ								0	0	0
of Ice Bolts	100	1	1	7		7		sor	1	1	44	charged	39	-30	-10											staf	orb											0	0	0
of Ice Bolts	100	1	1	14		14		sor	1	1	44	charged	39	-20	-6											knif												0	0	0
of Frozen Armor	100			7		7		sor	1	1	44	charged	40	-30	-10											staf	orb											0	0	0
of Frozen Armor	100			14		14		sor	1	1	44	charged	40	-20	-6											knif	tors											0	0	0
of Static Field	100			12		12		sor	6	1	44	charged	42	-30	-8											staf	orb											0	0	0
of Static Field	100			24		24		sor	6	1	44	charged	42	-20	-5											hamm	mace	scep	ring	circ								0	0	0
of Telekinesis	100	1	1	12		12		sor	6	1	44	charged	43	-30	-8											staf	orb											0	0	0
of Telekinesis	100	1	1	24		24		sor	6	1	44	charged	43	-20	-5											hamm	mace	scep	ring	circ								0	0	0
of Frost Novas	100	1	1	12		12		sor	6	1	44	charged	44	-30	-8											staf	orb											0	0	0
of Frost Novas	100	1	1	24		24		sor	6	1	44	charged	44	-20	-5											knif	amul	circ										0	0	0
of Ice Blasts	100	1	1	12		12		sor	6	1	44	charged	45	-30	-8											staf	orb											0	0	0
of Ice Blasts	100	1	1	24		24		sor	6	1	44	charged	45	-20	-5											hamm	mace	scep	ring	circ								0	0	0
of Blazing	100			18		18		sor	12	1	44	charged	46	-30	-7											staf	orb											0	0	0
of Blazing	100			36		36		sor	12	1	44	charged	46	-20	-4											boot												0	0	0
of Fire Balls	100	1	1	18		18		sor	12	1	44	charged	47	-30	-7											staf	orb											0	0	0
of Fire Balls	100	1	1	36		36		sor	12	1	44	charged	47	-20	-4											spea	wand											0	0	0
of Novas	100	1	1	18		18		sor	12	1	44	charged	48	-30	-7											staf	orb											0	0	0
of Novas	100	1	1	36		36		sor	12	1	44	charged	48	-20	-4											shld												0	0	0
of Lightning	100	1	1	18		18		sor	12	1	44	charged	49	-30	-7											staf	orb											0	0	0
of Lightning	100	1	1	36		36		sor	12	1	44	charged	49	-20	-4											axe	hamm											0	0	0
of Shiver Armor	100			18		18		sor	12	1	44	charged	50	-30	-7											staf	orb											0	0	0
of Shiver Armor	100			36		36		sor	12	1	44	charged	50	-20	-4											knif	tors											0	0	0
of Fire Walls	100			24		24		sor	18	1	44	charged	51	-30	-6											staf	orb											0	0	0
of Fire Walls	100			48		48		sor	18	1	44	charged	51	-20	-3											pole												0	0	0
of Enchantment	100	1	1	24		24		sor	18	1	44	charged	52	-20	-3											staf	orb											0	0	0
of Enchantment	100	1	1	48		48		sor	18	1	44	charged	52	-10	-1											mele												0	0	0
of Chain Lightning	100	1	1	24		24		sor	18	1	44	charged	53	-30	-6											staf	orb											0	0	0
of Chain Lightning	100	1	1	48		48		sor	18	1	44	charged	53	-20	-3											spea												0	0	0
of Teleportation	100	1	1	24		24		sor	18	1	44	charged	54	-30	-6											staf	orb											0	0	0
of Teleportation	100	1	1	48		48		sor	18	1	44	charged	54	-20	-3											amul	circ											0	0	0
of Glacial Spikes	100	1	1	24		24		sor	18	1	44	charged	55	-30	-6											staf	orb											0	0	0
of Glacial Spikes	100	1	1	48		48		sor	18	1	44	charged	55	-20	-3											knif												0	0	0
of Meteors	100	1	1	30		30		sor	24	1	44	charged	56	-30	-5											staf	orb											0	0	0
of Meteors	100	1	1	60		60		sor	24	1	44	charged	56	-20	-2											knif	club											0	0	0
of Thunder Storm	100			30		30		sor	24	1	44	charged	57	-30	-5											staf	orb											0	0	0
of Thunder Storm	100			60		60		sor	24	1	44	charged	57	-20	-2											hamm	club											0	0	0
of Energy Shield	100			30		30		sor	24	1	44	charged	58	-30	-5											staf	orb											0	0	0
of Energy Shield	100			60		60		sor	24	1	44	charged	58	-20	-2											helm												0	0	0
of Blizzards	100	1	1	30		30		sor	24	1	44	charged	59	-30	-5											staf	orb											0	0	0
of Blizzards	100	1	1	60		60		sor	24	1	44	charged	59	-20	-2											knif												0	0	0
of Chilling Armor	100			30		30		sor	24	1	44	charged	60	-30	-5											staf	orb											0	0	0
of Chilling Armor	100			60		60		sor	24	1	44	charged	60	-20	-2											tors												0	0	0
of Hydras	100			36		36		sor	30	1	44	charged	62	-30	-3											staf	orb											0	0	0
of Hydras	100			72		72		sor	30	1	44	charged	62	-20	-1											club												0	0	0
of Frozen Orbs	100	1	1	36		36		sor	30	1	44	charged	64	-30	-3											staf	orb											0	0	0
of Frozen Orbs	100	1	1	72		72		sor	30	1	44	charged	64	-20	-1											knif												0	0	0
of Amplify Damage	100			7		7		nec	1	1	44	charged	66	-60	-10											wand	knif	head										0	0	0
of Amplify Damage	100			14		14		nec	1	1	44	charged	66	-20	-6											blun												0	0	0
of Teeth	100	1	1	7		7		nec	1	1	44	charged	67	-60	-10											wand	knif	head										0	0	0
of Teeth	100	1	1	14		14		nec	1	1	44	charged	67	-20	-6											swor												0	0	0
of Bone Armor	100			7		7		nec	1	1	44	charged	68	-60	-10											wand	knif	head										0	0	0
of Bone Armor	100			14		14		nec	1	1	44	charged	68	-20	-6											tors												0	0	0
of Raise Skeletons	100			7		7		nec	1	1	44	charged	70	-60	-10											wand	knif	head										0	0	0
of Raise Skeletons	100			14		14		nec	1	1	44	charged	70	-20	-6											amul	circ											0	0	0
of Dim Vision	100	1	1	12		12		nec	6	1	44	charged	71	-60	-8											wand	knif	head										0	0	0
of Dim Vision	100	1	1	24		24		nec	6	1	44	charged	71	-20	-5											ring	circ											0	0	0
of Weaken	100	1	1	12		12		nec	6	1	44	charged	72	-60	-8											wand	knif	head										0	0	0
of Weaken	100	1	1	24		24		nec	6	1	44	charged	72	-20	-5											glov												0	0	0
of Poison Dagger	100	1	1	12		12		nec	6	1	44	charged	73	-60	-8											knif	head											0	0	0
of Poison Dagger	100	1	1	24		24		nec	6	1	44	charged	73	-20	-5											glov	ring	circ										0	0	0
of Corpse Explosions	100			12		12		nec	6	1	44	charged	74	-60	-8											wand	knif	head										0	0	0
of Corpse Explosions	100			24		24		nec	6	1	44	charged	74	-20	-5											club												0	0	0
of Clay Golem Summoning	100			12		12		nec	6	1	44	charged	75	-60	-8											wand	knif	head										0	0	0
of Clay Golem Summoning	100			24		24		nec	6	1	44	charged	75	-20	-5											amul	circ											0	0	0
of Iron Maiden	100			18		18		nec	12	1	44	charged	76	-60	-7											wand	knif	head										0	0	0
of Iron Maiden	100			36		36		nec	12	1	44	charged	76	-20	-4											shld												0	0	0
of Terror	100	1	1	18		18		nec	12	1	44	charged	77	-60	-7											wand	knif	head										0	0	0
of Terror	100	1	1	36		36		nec	12	1	44	charged	77	-20	-4											shld												0	0	0
of Bone Walls	100			18		18		nec	12	1	44	charged	78	-60	-7											wand	knif	head										0	0	0
of Bone Walls	100			36		36		nec	12	1	44	charged	78	-20	-4											club	mace	scep										0	0	0
of Raise Skeletal Mages	100			18		18		nec	12	1	44	charged	80	-60	-7											wand	knif	head										0	0	0
of Raise Skeletal Mages	100			36		36		nec	12	1	44	charged	80	-20	-4											amul	circ											0	0	0
of Confusion	100	1	1	24		24		nec	18	1	44	charged	81	-60	-6											wand	knif	head										0	0	0
of Confusion	100	1	1	48		48		nec	18	1	44	charged	81	-20	-3											ring	circ											0	0	0
of Life Tap	100	1	1	24		24		nec	18	1	44	charged	82	-60	-6											wand	knif	head										0	0	0
of Life Tap	100	1	1	48		48		nec	18	1	44	charged	82	-20	-3											axe												0	0	0
of Poison Explosion	100			24		24		nec	18	1	44	charged	83	-60	-6											wand	knif	head										0	0	0
of Poison Explosion	100			48		48		nec	18	1	44	charged	83	-20	-3											blun												0	0	0
of Bone Spears	100	1	1	24		24		nec	18	1	44	charged	84	-60	-6											wand	knif	head										0	0	0
of Bone Spears	100	1	1	48		48		nec	18	1	44	charged	84	-20	-3											spea												0	0	0
of Blood Golem Summoning	100			24		24		nec	18	1	44	charged	85	-60	-6											wand	knif	head										0	0	0
of Blood Golem Summoning	100			48		48		nec	18	1	44	charged	85	-20	-3											axe												0	0	0
of Attraction	100	1	1	30		30		nec	24	1	44	charged	86	-60	-5											wand	knif	head										0	0	0
of Attraction	100	1	1	60		60		nec	24	1	44	charged	86	-20	-2											ring	amul	circ										0	0	0
of Decrepification	100			30		30		nec	24	1	44	charged	87	-60	-5											wand	knif	head										0	0	0
of Decrepification	100			60		60		nec	24	1	44	charged	87	-20	-2											shld												0	0	0
of Bone Imprisonment	100			30		30		nec	24	1	44	charged	88	-60	-5											wand	knif	head										0	0	0
of Bone Imprisonment	100			60		60		nec	24	1	44	charged	88	-20	-2											mace	scep											0	0	0
of Iron Golem Creation	100			30		30		nec	24	1	44	charged	90	-60	-5											wand	knif	head										0	0	0
of Iron Golem Creation	100			60		60		nec	24	1	44	charged	90	-20	-2											swor												0	0	0
of Lower Resistance	100	1	1	36		36		nec	30	1	44	charged	91	-60	-3											wand	knif	head										0	0	0
of Lower Resistance	100	1	1	72		72		nec	30	1	44	charged	91	-20	-1											staf												0	0	0
of Poison Novas	100	1	1	36		36		nec	30	1	44	charged	92	-60	-3											wand	knif	head										0	0	0
of Poison Novas	100	1	1	72		72		nec	30	1	44	charged	92	-20	-1											glov												0	0	0
of Bone Spirits	100	1	1	36		36		nec	30	1	44	charged	93	-60	-3											wand	knif	head										0	0	0
of Bone Spirits	100	1	1	72		72		nec	30	1	44	charged	93	-20	-1											amul	circ											0	0	0
of Fire Golem Summoning	100			36		36		nec	30	1	44	charged	94	-60	-3											wand	knif	head										0	0	0
of Fire Golem Summoning	100			72		72		nec	30	1	44	charged	94	-20	-1											hamm												0	0	0
of Revivification	100			36		36		nec	30	1	44	charged	95	-60	-3											wand	knif	head										0	0	0
of Revivification	100			72		72		nec	30	1	44	charged	95	-20	-1											pole												0	0	0
of Sacrifice	100	1	1	7		7		pal	1	1	44	charged	96	-30	-10											scep	ashd											0	0	0
of Sacrifice	100	1	1	14		14		pal	1	1	44	charged	96	-20	-6											mele							scep					0	0	0
of Holy Bolts	100	1	1	12		12		pal	6	1	44	charged	101	-30	-8											scep	ashd											0	0	0
of Holy Bolts	100	1	1	24		24		pal	6	1	44	charged	101	-20	-5											amul	circ											0	0	0
of Zeal	100	1	1	18		18		pal	12	1	44	charged	106	-30	-7											scep	ashd											0	0	0
of Zeal	100	1	1	36		36		pal	12	1	44	charged	106	-20	-4											mele							scep					0	0	0
of Vengeance	100	1	1	24		24		pal	18	1	44	charged	111	-30	-6											scep	ashd											0	0	0
of Vengeance	100	1	1	48		48		pal	18	1	44	charged	111	-20	-3											swor	axe											0	0	0
of Blessed Hammers	100	1	1	24		24		pal	18	1	44	charged	112	-30	-6											scep	ashd											0	0	0
of Blessed Hammers	100	1	1	48		48		pal	18	1	44	charged	112	-20	-3											hamm												0	0	0
of Conversion	100			30		30		pal	24	1	44	charged	116	-30	-5											scep	ashd											0	0	0
of Conversion	100			60		60		pal	24	1	44	charged	116	-20	-2											blun							scep					0	0	0
of Fist of the Heavens	100			36		36		pal	30	1	44	charged	121	-30	-3											scep	ashd											0	0	0
