Cutthroat1	Bartuc's Cut-Throat
champberserkX	Berserker
PalMercExST1X	Defensive
PalMercEXST3X	Offensive
PalMercEXST4X	Combat
increaseswithplaylevelX	(Based on Character Level)
RankX	Rank
x	Enter a valid email address.
x	Entering your email address will enable extra features, such as the ability to recover your account should you forget your password. Visit www.battle.net/email-address for more information.
x	Email Address:
x	Verify Email Address:
x	REGISTER
x	DON'T REGISTER
x	Please make sure that the two email addresses match.
x	Invalid Email Address
x	The email address you entered does not appear to be valid.  Please enter a valid email address.
x	Without a registered email address, you will not be able to recover your account should you forget your password. You will not have another opportunity to register an email address with this account.
x	If you have forgotten your password and you registered your email address with us for this account, you can request that a new password be sent to you by clicking Send.  Make sure to enter the email address that you registered for this account.
x	Your request for a new password has been received. If you registered an email address for this account you will receive an email with instructions on how to complete your password change.
x	CONTINUE
x	Forgot your password? Click 'Account Settings'.
x	The password you entered is incorrect.  You can get a new password by clicking 'Account Settings'.
x	ACCOUNT SETTINGS
x	Account Settings
x	If you know your password and want to change it, click here.
x	If you have forgotten your password or your password doesn't work, click here.
x	If you need to change your registered email address, click here.
x	GET NEW PASSWORD
x	Get New Password
x	CHANGE EMAIL
x	Change Email
x	Old Email Address:
x	New Email Address:
x	Verify New Email Address:
x	If you registered an email address for this account then you can change it here. Note that both email addresses need to be active for you to make this change.
x	The old and new email addresses you have entered are the same.  Please enter a different email address.
x	Please make sure that the two new email addresses match.
x	Battle.net News Updates
x	Last Difficulty Setting Completed:
x	None
x	ENTER CHAT
x	PLEASE WRITE DOWN YOUR PASSWORD.
x	Unsafe Password
x	The password you've chosen is unsafe. Please choose a new one.
x	CDKEY WARNING
x	You cannot send your cdkey to another user on Battle.net. Blizzard will never ask you for your cdkey for any reason.
x	Expires Today
x	Expires in %d days
x	Character Expired
x	
x	
x	
x	
x	
x	
x	
x	
x	A Diablo II character must be played in a game, or it will eventually expire. When you first create a character, it expires 10 days after the last time it was played. Once that character has been played for two hours or more, it will not expire until three months from the time it was last played.
x	A character that expires is deleted from the realm.
x	The character '%s' has not been used enough and has expired.
pk1	Key of Terror
pk2	Key of Hate
pk3	Key of Destruction
dhn	Diablo's Horn
bey	Baal's Eye
mbr	Mephisto's Brain
std	Standard of Heroes
Hellfire Torch	Hellfire Torch
Lilith	Lilith
Pandemonium Run 1	Matron's Den
Pandemonium Run 2	Forgotten Sands
Pandemonium Run 3	Furnace of Pain
ModStre8b	to Assassin Skills
skillld146	enemies' defense rating and damage}fearsome cry that decreases
skillld65	by piercing enemies' resistances to cold}passive - increases the damage of your cold attacks
x	The CD-Key you are currently using is disabled from playing realm games. You may continue playing the game in Single Player and Open Battle.net.
x	Your connection has been temporarily restricted from this realm. Please try to log in at another time.
toa	Right-click to reset Stat/Skill Points}Token of Absolution
tes	Twisted Essence of Suffering
ceh	Charged Essence of Hatred
bet	Burning Essence of Terror
fed	Festering Essence of Destruction
respec	Reset Stat/Skill Points
x	Persistent ignoring is now enabled.
x	Persistent ignoring is now disabled.
x	%s has been ignored.
x	Unable to ignore %s
x	%s has been unignored.
x	%s is not currently ignored.
x	Message filter added.
x	Unable to add message filter.
x	Message filter removed.
x	Unable to remove message filter.
